genoma	Location
cory1	Brazil
cory2	USA
cory3	USA
cory4	USA
cory5	USA
cory6	USA
cory7	USA
cory8	USA
cory9	South Korea
cory10	Brazil
cory11	Brazil
cory12	Brazil
cory13	China
cory14	China
cory15	Brazil
cory16	Brazil
cory17	Brazil
cory18	Brazil
cory19	Brazil
cory20	Brazil
cory21	USA
cory22	USA
cory23	China
cory24	China
cory25	China
cory26	China
cory27	Brazil
cory28	Brazil
cory29	China
cory30	China
cory31	China
cory32	China
cory33	China
cory34	China
cory35	China
cory36	China
cory37	China
cory38	China
cory39	China
cory40	China
cory41	China
cory42	China
cory43	China
cory44	China
cory45	China
cory46	China
cory47	China
cory48	China
cory49	China
cory50	China
cory51	China
cory52	China
cory53	China
cory54	China
cory55	China
cory56	China
cory57	China
cory58	China
cory59	China
cory60	China
cory61	China
cory62	China
cory63	China
cory64	China
cory65	China
cory66	China
cory67	China
cory68	China
cory69	China
cory70	China
cory71	China
cory72	China
cory73	China
cory74	China
cory75	China
cory76	China
cory77	China
cory78	China
cory79	China
cory80	China
cory81	China
cory82	China
cory83	China
cory84	China
cory85	China
cory86	China
cory87	China
cory88	China
cory89	China
cory90	China
cory91	China
cory92	China
cory93	China
cory94	China
cory95	China
cory96	China
cory97	China
cory98	China
cory99	China
cory100	China
cory101	China
cory102	China
cory103	China
cory104	China
cory105	China
cory106	China
cory107	China
cory108	China
cory109	China
cory110	China
cory111	China
cory112	China
cory113	China
cory114	China
cory115	China
cory116	China
cory117	China
cory118	China
cory119	China
cory120	China
cory121	China
cory122	China
cory123	China
cory124	China
cory125	China
cory126	China
cory127	China
cory128	China
cory129	China
cory130	China
cory131	China
cory132	China
cory133	China
cory134	China
cory135	China
cory136	China
cory137	China
cory138	China
cory139	China
cory140	China
cory141	China
cory142	China
cory143	China
cory144	China
cory145	China
cory146	China
cory147	China
cory148	China
cory149	China
cory150	China
cory151	China
cory152	China
cory153	China
cory154	China
cory155	China
cory156	China
cory157	China
cory158	China
cory159	China
cory160	China
cory161	China
cory162	China
cory163	China
cory164	China
cory165	China
cory166	China
cory167	China
cory168	China
cory169	China
cory170	China
cory171	China
cory172	China
cory173	USA
cory174	China
cory175	China
cory176	China
cory177	China
cory178	China
cory179	China
cory180	China
cory181	China
cory182	China
cory183	China
cory184	China
cory185	China
cory186	China
cory187	China
cory188	China
cory189	China
cory190	China
cory191	China
cory192	China
cory193	China
cory194	China
cory195	China
cory196	China
cory197	China
cory198	China
cory199	China
cory200	China
cory201	China
cory202	China
cory203	China
cory204	China
cory205	China
cory206	China
cory207	China
cory208	China
cory209	China
cory210	China
cory211	China
cory212	China
cory213	China
cory214	China
cory215	China
cory216	China
cory217	China
cory218	China
cory219	China
cory220	China
cory221	China
cory222	China
cory223	China
cory224	China
cory225	China
cory226	China
cory227	China
cory228	China
cory229	China
cory230	China
cory231	China
cory232	China
cory233	China
cory234	China
cory235	China
cory236	China
cory237	China
cory238	China
cory239	China
cory240	China
cory241	China
cory242	China
cory243	China
cory244	China
cory245	China
cory246	China
cory247	China
cory248	China
cory249	China
cory250	China
cory251	China
cory252	China
cory253	China
cory254	China
cory255	China
cory256	USA
cory257	China
cory258	China
cory259	China
cory260	China
cory261	China
cory263	Germany
cory264	Germany
cory265	Germany
cory266	Denmark
cory267	Denmark
cory268	Denmark
