genoma	No_ARG	Lineage
cory1	1	C6
cory2	3	C1
cory3	2	C1
cory4	2	C1
cory5	0	C1
cory6	2	C1
cory7	2	C1
cory8	6	C1
cory9	3	C9
cory10	6	C5
cory11	3	C5
cory12	0	C5
cory13	8	C1
cory14	3	C1
cory15	6	C5
cory16	7	C5
cory17	8	C5
cory18	6	C5
cory19	8	C5
cory20	6	C5
cory21	1	C1
cory22	11	C1
cory23	8	C1
cory24	8	C1
cory25	6	C2
cory26	6	C2
cory27	1	C6
cory28	6	C5
cory29	8	C1
cory30	9	C3
cory31	6	C2
cory32	10	C3
cory33	6	C2
cory34	6	C2
cory35	6	C2
cory36	6	C2
cory37	6	C2
cory38	8	C1
cory39	10	C3
cory40	2	C9
cory41	6	C2
cory42	6	C2
cory43	6	C2
cory44	9	C3
cory45	6	C2
cory46	6	C2
cory47	6	C2
cory48	5	C2
cory49	8	C1
cory50	8	C1
cory51	6	C2
cory52	6	C2
cory53	8	C1
cory54	8	C1
cory55	1	C4
cory56	6	C2
cory57	9	C3
cory58	2	C7
cory59	9	C3
cory60	2	C7
cory61	2	C2
cory62	6	C2
cory63	6	C2
cory64	6	C2
cory65	9	C3
cory66	10	C3
cory67	8	C8
cory68	9	C3
cory69	7	C3
cory70	9	C3
cory71	9	C3
cory72	1	C4
cory73	10	C3
cory74	8	C1
cory75	2	C9
cory76	6	C2
cory77	8	C1
cory78	10	C3
cory79	6	C2
cory80	6	C2
cory81	2	C2
cory82	2	C9
cory83	6	C2
cory84	1	C9
cory85	3	C1
cory86	6	C2
cory87	8	C1
cory88	10	C3
cory89	9	C1
cory90	9	C3
cory91	9	C3
cory92	7	C1
cory93	6	C2
cory94	3	C3
cory95	2	C9
cory96	1	C9
cory97	3	C3
cory98	1	C1
cory99	10	C3
cory100	8	C1
cory101	3	C1
cory102	2	C9
cory103	2	C7
cory104	0	C9
cory105	2	C7
cory106	6	C2
cory107	6	C2
cory108	1	C9
cory109	10	C3
cory110	10	C3
cory111	2	C7
cory112	2	C3
cory113	9	C3
cory114	6	C2
cory115	6	C2
cory116	10	C3
cory117	3	C3
cory118	2	C7
cory119	6	C2
cory120	6	C2
cory121	6	C2
cory122	1	C7
cory123	6	C2
cory124	6	C2
cory125	6	C2
cory126	2	C7
cory127	8	C1
cory128	9	C3
cory129	6	C2
cory130	6	C2
cory131	5	C2
cory132	6	C2
cory133	6	C2
cory134	6	C2
cory135	11	C3
cory136	6	C2
cory137	2	C9
cory138	6	C2
cory139	9	C3
cory140	6	C2
cory141	3	C1
cory142	6	C2
cory143	10	C3
cory144	7	C2
cory145	6	C2
cory146	7	C2
cory147	3	C3
cory148	6	C2
cory149	9	C3
cory150	10	C3
cory151	2	C9
cory152	2	C7
cory153	9	C3
cory154	6	C2
cory155	2	C9
cory156	8	C2
cory157	3	C9
cory158	6	C2
cory159	9	C3
cory160	8	C1
cory161	6	C2
cory162	6	C2
cory163	2	C9
cory164	8	C8
cory165	1	C2
cory166	9	C3
cory167	9	C3
cory168	9	C3
cory169	9	C3
cory170	9	C3
cory171	8	C1
cory172	9	C3
cory173	1	C6
cory174	2	C9
cory175	7	C1
cory176	7	C3
cory177	9	C3
cory178	6	C2
cory179	9	C3
cory180	6	C2
cory181	9	C3
cory182	9	C3
cory183	10	C3
cory184	9	C3
cory185	1	C1
cory186	6	C2
cory187	9	C3
cory188	2	C2
cory189	6	C2
cory190	0	C4
cory191	0	C9
cory192	11	C3
cory193	6	C2
cory194	6	C2
cory195	9	C3
cory196	6	C2
cory197	6	C2
cory198	6	C2
cory199	5	C2
cory200	1	C1
cory201	6	C2
cory202	6	C2
cory203	9	C8
cory204	6	C2
cory205	6	C2
cory206	2	C7
cory207	6	C2
cory208	6	C2
cory209	9	C3
cory210	10	C3
cory211	6	C2
cory212	8	C8
cory213	2	C9
cory214	6	C2
cory215	6	C2
cory216	6	C2
cory217	8	C8
cory218	1	C9
cory219	1	C9
cory220	6	C2
cory221	1	C1
cory222	6	C2
cory223	9	C3
cory224	1	C9
cory225	6	C2
cory226	9	C3
cory227	6	C2
cory228	2	C9
cory229	6	C2
cory230	6	C2
cory231	9	C3
cory232	1	C4
cory233	9	C3
cory234	9	C3
cory235	6	C2
cory236	2	C9
cory237	6	C2
cory238	6	C2
cory239	6	C2
cory240	2	C7
cory241	2	C9
cory242	6	C2
cory243	6	C2
cory244	6	C2
cory245	8	C3
cory246	6	C2
cory247	7	C2
cory248	7	C2
cory249	3	C1
cory250	6	C2
cory251	6	C2
cory252	9	C3
cory253	9	C3
cory254	6	C2
cory255	2	C9
cory256	3	C1
cory257	2	C1
cory258	3	C1
cory259	3	C1
cory260	9	C1
cory261	6	C2
cory263	2	C1
cory264	0	C4
cory265	8	C3
cory266	1	C7
cory267	0	C4
cory268	0	C4
